===== Hyperparameters =====
seed: 42
tsrna_pca_dim: 32
disease_pca_dim: 32
motif_pca_dim: 0
train_batch_size: 32
val_batch_size: 32
embedding_size: 32
hidden_units: 32
att_layers: 2
head_num: 4
mlp_list: [64]
group_hidden_dimension: 8
drop_rate_att: 0.1
dp_rate_amp: 0.1
lr: 0.001
weight_decay: 1e-05
epochs: 200
===========================

Epoch 1 | Loss: 1.2617 | LR: 0.001000
Epoch 2 | Loss: 0.7108 | LR: 0.001000
Epoch 3 | Loss: 0.6959 | LR: 0.001000
Epoch 4 | Loss: 0.6852 | LR: 0.001000
Epoch 5 | Loss: 0.6942 | LR: 0.001000
Epoch 6 | Loss: 0.6681 | LR: 0.001000
Epoch 7 | Loss: 0.6073 | LR: 0.001000
Epoch 8 | Loss: 0.6145 | LR: 0.001000
Epoch 9 | Loss: 0.5599 | LR: 0.001000
Epoch 10 | Loss: 0.5757 | LR: 0.001000
Epoch 11 | Loss: 0.5299 | LR: 0.001000
Epoch 12 | Loss: 0.4988 | LR: 0.001000
Epoch 13 | Loss: 0.5217 | LR: 0.001000
Epoch 14 | Loss: 0.5101 | LR: 0.001000
Epoch 15 | Loss: 0.5257 | LR: 0.001000
Epoch 16 | Loss: 0.5093 | LR: 0.001000
Epoch 17 | Loss: 0.5197 | LR: 0.001000
Epoch 18 | Loss: 0.4961 | LR: 0.001000
Epoch 19 | Loss: 0.4713 | LR: 0.001000
Epoch 20 | Loss: 0.4717 | LR: 0.001000
Epoch 21 | Loss: 0.4620 | LR: 0.001000
Epoch 22 | Loss: 0.4562 | LR: 0.001000
Epoch 23 | Loss: 0.4668 | LR: 0.001000
Epoch 24 | Loss: 0.4887 | LR: 0.001000
Epoch 25 | Loss: 0.4495 | LR: 0.001000
Epoch 26 | Loss: 0.4427 | LR: 0.001000
Epoch 27 | Loss: 0.4780 | LR: 0.001000
Epoch 28 | Loss: 0.4577 | LR: 0.001000
Epoch 29 | Loss: 0.4480 | LR: 0.001000
Epoch 30 | Loss: 0.4686 | LR: 0.001000
Epoch 31 | Loss: 0.4319 | LR: 0.001000
Epoch 32 | Loss: 0.4473 | LR: 0.001000
Epoch 33 | Loss: 0.4571 | LR: 0.001000
Epoch 34 | Loss: 0.4261 | LR: 0.001000
Epoch 35 | Loss: 0.4389 | LR: 0.001000
Epoch 36 | Loss: 0.4406 | LR: 0.001000
Epoch 37 | Loss: 0.4160 | LR: 0.001000
Epoch 38 | Loss: 0.4130 | LR: 0.001000
Epoch 39 | Loss: 0.4326 | LR: 0.001000
Epoch 40 | Loss: 0.4101 | LR: 0.001000
Epoch 41 | Loss: 0.4231 | LR: 0.001000
Epoch 42 | Loss: 0.4141 | LR: 0.001000
Epoch 43 | Loss: 0.4271 | LR: 0.001000
Epoch 44 | Loss: 0.3905 | LR: 0.001000
Epoch 45 | Loss: 0.3924 | LR: 0.001000
Epoch 46 | Loss: 0.3993 | LR: 0.001000
Epoch 47 | Loss: 0.4105 | LR: 0.001000
Epoch 48 | Loss: 0.4204 | LR: 0.001000
Epoch 49 | Loss: 0.4116 | LR: 0.001000
Epoch 50 | Loss: 0.3766 | LR: 0.001000
Epoch 51 | Loss: 0.3926 | LR: 0.001000
Epoch 52 | Loss: 0.3915 | LR: 0.001000
Epoch 53 | Loss: 0.3658 | LR: 0.001000
Epoch 54 | Loss: 0.3508 | LR: 0.001000
Epoch 55 | Loss: 0.3467 | LR: 0.001000
Epoch 56 | Loss: 0.3752 | LR: 0.001000
Epoch 57 | Loss: 0.3673 | LR: 0.001000
Epoch 58 | Loss: 0.3698 | LR: 0.001000
Epoch 59 | Loss: 0.3451 | LR: 0.001000
Epoch 60 | Loss: 0.3341 | LR: 0.001000
Epoch 61 | Loss: 0.3243 | LR: 0.001000
Epoch 62 | Loss: 0.3157 | LR: 0.001000
Epoch 63 | Loss: 0.3045 | LR: 0.001000
Epoch 64 | Loss: 0.2840 | LR: 0.001000
Epoch 65 | Loss: 0.2850 | LR: 0.001000
Epoch 66 | Loss: 0.3007 | LR: 0.001000
Epoch 67 | Loss: 0.2791 | LR: 0.001000
Epoch 68 | Loss: 0.2925 | LR: 0.001000
Epoch 69 | Loss: 0.3106 | LR: 0.001000
Epoch 70 | Loss: 0.2883 | LR: 0.001000
Epoch 71 | Loss: 0.2838 | LR: 0.001000
Epoch 72 | Loss: 0.2966 | LR: 0.001000
Epoch 73 | Loss: 0.2704 | LR: 0.001000
Epoch 74 | Loss: 0.2471 | LR: 0.001000
Epoch 75 | Loss: 0.2606 | LR: 0.001000
Epoch 76 | Loss: 0.2365 | LR: 0.001000
Epoch 77 | Loss: 0.1833 | LR: 0.001000
Epoch 78 | Loss: 0.2435 | LR: 0.001000
Epoch 79 | Loss: 0.1915 | LR: 0.001000
Epoch 80 | Loss: 0.1859 | LR: 0.001000
Epoch 81 | Loss: 0.1610 | LR: 0.001000
Epoch 82 | Loss: 0.1677 | LR: 0.001000
Epoch 83 | Loss: 0.1470 | LR: 0.001000
Epoch 84 | Loss: 0.1479 | LR: 0.001000
Epoch 85 | Loss: 0.1309 | LR: 0.001000
