===== Hyperparameters =====
seed: 42
tsrna_pca_dim: 32
disease_pca_dim: 32
motif_pca_dim: 0
train_batch_size: 32
val_batch_size: 32
embedding_size: 32
hidden_units: 32
att_layers: 2
head_num: 4
mlp_list: [64]
group_hidden_dimension: 8
drop_rate_att: 0.1
dp_rate_amp: 0.1
lr: 0.001
weight_decay: 1e-05
epochs: 200
===========================

Epoch 1 | Loss: 1.3434 | LR: 0.001000
Epoch 2 | Loss: 0.7028 | LR: 0.001000
Epoch 3 | Loss: 0.7035 | LR: 0.001000
Epoch 4 | Loss: 0.6999 | LR: 0.001000
Epoch 5 | Loss: 0.6998 | LR: 0.001000
Epoch 6 | Loss: 0.6929 | LR: 0.001000
Epoch 7 | Loss: 0.6935 | LR: 0.001000
Epoch 8 | Loss: 0.7209 | LR: 0.001000
Epoch 9 | Loss: 0.6921 | LR: 0.001000
Epoch 10 | Loss: 0.6871 | LR: 0.001000
Epoch 11 | Loss: 0.6855 | LR: 0.001000
Epoch 12 | Loss: 0.6822 | LR: 0.001000
Epoch 13 | Loss: 0.6891 | LR: 0.001000
Epoch 14 | Loss: 0.6559 | LR: 0.001000
Epoch 15 | Loss: 0.6136 | LR: 0.001000
Epoch 16 | Loss: 0.5587 | LR: 0.001000
Epoch 17 | Loss: 0.5492 | LR: 0.001000
Epoch 18 | Loss: 0.5333 | LR: 0.001000
Epoch 19 | Loss: 0.5016 | LR: 0.001000
Epoch 20 | Loss: 0.5090 | LR: 0.001000
Epoch 21 | Loss: 0.4984 | LR: 0.001000
Epoch 22 | Loss: 0.5196 | LR: 0.001000
Epoch 23 | Loss: 0.5171 | LR: 0.001000
Epoch 24 | Loss: 0.4773 | LR: 0.001000
Epoch 25 | Loss: 0.4612 | LR: 0.001000
Epoch 26 | Loss: 0.4702 | LR: 0.001000
Epoch 27 | Loss: 0.4655 | LR: 0.001000
Epoch 28 | Loss: 0.4560 | LR: 0.001000
Epoch 29 | Loss: 0.4848 | LR: 0.001000
Epoch 30 | Loss: 0.4684 | LR: 0.001000
Epoch 31 | Loss: 0.4615 | LR: 0.001000
Epoch 32 | Loss: 0.4388 | LR: 0.001000
Epoch 33 | Loss: 0.4835 | LR: 0.001000
Epoch 34 | Loss: 0.4473 | LR: 0.001000
Epoch 35 | Loss: 0.4357 | LR: 0.001000
Epoch 36 | Loss: 0.4535 | LR: 0.001000
Epoch 37 | Loss: 0.4448 | LR: 0.001000
Epoch 38 | Loss: 0.4541 | LR: 0.001000
Epoch 39 | Loss: 0.4394 | LR: 0.001000
Epoch 40 | Loss: 0.4522 | LR: 0.001000
Epoch 41 | Loss: 0.4338 | LR: 0.001000
Epoch 42 | Loss: 0.4290 | LR: 0.001000
Epoch 43 | Loss: 0.4460 | LR: 0.001000
Epoch 44 | Loss: 0.4498 | LR: 0.001000
Epoch 45 | Loss: 0.4232 | LR: 0.001000
Epoch 46 | Loss: 0.4692 | LR: 0.001000
Epoch 47 | Loss: 0.4260 | LR: 0.001000
Epoch 48 | Loss: 0.4006 | LR: 0.001000
Epoch 49 | Loss: 0.4031 | LR: 0.001000
Epoch 50 | Loss: 0.4070 | LR: 0.001000
Epoch 51 | Loss: 0.3953 | LR: 0.001000
Epoch 52 | Loss: 0.3875 | LR: 0.001000
Epoch 53 | Loss: 0.3975 | LR: 0.001000
Epoch 54 | Loss: 0.3868 | LR: 0.001000
Epoch 55 | Loss: 0.3915 | LR: 0.001000
Epoch 56 | Loss: 0.3899 | LR: 0.001000
Epoch 57 | Loss: 0.3786 | LR: 0.001000
Epoch 58 | Loss: 0.3822 | LR: 0.001000
Epoch 59 | Loss: 0.3877 | LR: 0.001000
Epoch 60 | Loss: 0.3687 | LR: 0.001000
Epoch 61 | Loss: 0.3627 | LR: 0.001000
Epoch 62 | Loss: 0.3844 | LR: 0.001000
Epoch 63 | Loss: 0.3609 | LR: 0.001000
Epoch 64 | Loss: 0.3400 | LR: 0.001000
Epoch 65 | Loss: 0.3327 | LR: 0.001000
Epoch 66 | Loss: 0.3598 | LR: 0.001000
Epoch 67 | Loss: 0.3727 | LR: 0.001000
